train,test
-332.1442598663541,-332.1442598663541
-322.3971671912291,-322.3971671912291
-367.0363513506375,-367.0363513506375
-349.43031829213203,-349.43031829213203
-311.91583988744543,-311.91583988744543
-371.1235046234274,-371.1235046234274
-369.9019905448627,-369.9019905448627
-354.4275468428625,-354.4275468428625
-357.63902010973516,-357.63902010973516
-322.0695589375319,-322.0695589375319
-353.96383327900907,-353.96383327900907
-394.0680778260432,-394.0680778260432
-356.04338190355156,-356.04338190355156
-396.46200617942446,-396.46200617942446
-356.36570776414084,-356.36570776414084
-357.3842572909456,-357.3842572909456
-329.7898025505069,-329.7898025505069
-387.07083451477763,-387.07083451477763
-363.9230328878878,-363.9230328878878
-358.2113100538666,-358.2113100538666
-326.16220345322364,-326.16220345322364
-422.92972707188005,-422.92972707188005
-350.46861177018195,-350.46861177018195
-332.03325981049124,-332.03325981049124
-404.2593965022761,-404.2593965022761
-345.0275913806098,-345.0275913806098
-388.5337530232746,-388.5337530232746
-402.25624906483364,-402.25624906483364
-387.3149456085071,-387.3149456085071
-339.23671634969656,-339.23671634969656
-386.87325515900915,-386.87325515900915
-363.3683116634814,-363.3683116634814
-379.32007135065396,-379.32007135065396
-368.86254057836715,-368.86254057836715
-351.79292634171753,-351.79292634171753
-376.4151041743977,-376.4151041743977
-329.3423464795375,-329.3423464795375
-376.0297182797273,-376.0297182797273
-366.25320470838324,-366.25320470838324
-325.0502042992374,-325.0502042992374
-384.22293607659657,-384.22293607659657
-339.5894710066456,-339.5894710066456
-331.2867456740472,-331.2867456740472
-325.70862943895725,-325.70862943895725
-352.3594981303979,-352.3594981303979
-343.920973272999,-343.920973272999
-369.7150733497495,-369.7150733497495
-371.21607246156975,-371.21607246156975
-357.8423805029965,-357.8423805029965
-352.53910218701526,-352.53910218701526
-346.08371680849945,-346.08371680849945
-352.8391242117915,-352.8391242117915
-366.9657450850447,-366.9657450850447
-321.57861490288667,-321.57861490288667
-343.30696110222857,-343.30696110222857
-409.9437096477206,-409.9437096477206
-306.75193103492086,-306.75193103492086
-380.3225103808276,-380.3225103808276
-355.9790942523002,-355.9790942523002
-366.2309574564343,-366.2309574564343
-409.0582583230168,-409.0582583230168
-375.8945295345748,-375.8945295345748
-329.0020165781876,-329.0020165781876
-317.9627338151126,-317.9627338151126
-335.0119692197738,-335.0119692197738
-346.1556503534282,-346.1556503534282
-363.9071834570999,-363.9071834570999
-334.5369780881099,-334.5369780881099
-349.86018074934884,-349.86018074934884
-334.50121361130005,-334.50121361130005
-342.5279103749158,-342.5279103749158
-406.46938323224936,-406.46938323224936
-372.77372363085874,-372.77372363085874
-369.7922018018119,-369.7922018018119
-348.6303539606364,-348.6303539606364
-337.48777072918136,-337.48777072918136
-400.9700737797074,-400.9700737797074
-351.63408959111393,-351.63408959111393
-320.3329106582926,-320.3329106582926
-367.1195292697274,-367.1195292697274
-383.3018494832621,-383.3018494832621
-338.0164200764767,-338.0164200764767
-351.36677234980885,-351.36677234980885
-357.9566125024946,-357.9566125024946
-370.75553079588565,-370.75553079588565
-313.8373384076215,-313.8373384076215
-373.89826366327765,-373.89826366327765
-363.6301645565499,-363.6301645565499
-373.25023527047443,-373.25023527047443
-374.8003169927179,-374.8003169927179
-345.97367776183955,-345.97367776183955
-395.51900207983465,-395.51900207983465
-318.86513564071106,-318.86513564071106
-356.095668757,-356.095668757
-356.4100256696398,-356.4100256696398
-359.5039260416417,-359.5039260416417
-320.0434940265318,-320.0434940265318
-364.0171604521871,-364.0171604521871
-355.24717454756075,-355.24717454756075
-313.6725069081348,-313.6725069081348
-383.88997892147347,-383.88997892147347
-367.5043901412533,-367.5043901412533
-330.06254001810123,-330.06254001810123
-308.1410267723526,-308.1410267723526
-346.87566816993115,-346.87566816993115
-376.0584985144238,-376.0584985144238
-380.51484012476226,-380.51484012476226
-362.5005643833823,-362.5005643833823
-340.75705088405726,-340.75705088405726
-368.53832016935695,-368.53832016935695
-337.8071293450385,-337.8071293450385
-375.0326529572439,-375.0326529572439
-326.3508166278907,-326.3508166278907
-376.13636402305616,-376.13636402305616
-367.7987639176575,-367.7987639176575
-324.79160188997747,-324.79160188997747
-338.26632777236415,-338.26632777236415
-347.65845106690165,-347.65845106690165
