train,test
-292.1370840726927,-292.1370840726927
-325.83817191245686,-325.83817191245686
-332.64287098239254,-332.64287098239254
-316.58596421557905,-316.58596421557905
-360.0263098499254,-360.0263098499254
-298.71844656559705,-298.71844656559705
-310.0336939878396,-310.0336939878396
-338.499488818226,-338.499488818226
-299.3949899679262,-299.3949899679262
-313.7924340780008,-313.7924340780008
-299.6002328960584,-299.6002328960584
-306.4349125421789,-306.4349125421789
-321.2837951592193,-321.2837951592193
-288.8337612533671,-288.8337612533671
-322.67633661498536,-322.67633661498536
-328.54178077082133,-328.54178077082133
-354.4942576462856,-354.4942576462856
-318.9039448751636,-318.9039448751636
-299.06819947867433,-299.06819947867433
-287.8698363554257,-287.8698363554257
-246.59717365170764,-246.59717365170764
-352.5370808890641,-352.5370808890641
-264.0206315090081,-264.0206315090081
-270.5079296772865,-270.5079296772865
-247.39406946577756,-247.39406946577756
-265.74438948281323,-265.74438948281323
-320.0165283078033,-320.0165283078033
-304.4236318628179,-304.4236318628179
-295.3736318528194,-295.3736318528194
-341.78358713285354,-341.78358713285354
-307.16946086604906,-307.16946086604906
-329.0417629962737,-329.0417629962737
-293.5720773864692,-293.5720773864692
-241.77436469917623,-241.77436469917623
-223.17114207122287,-223.17114207122287
-265.1402742976364,-265.1402742976364
-352.131816163493,-352.131816163493
-313.95248034350755,-313.95248034350755
-304.0571337835588,-304.0571337835588
-316.9422066834397,-316.9422066834397
-321.2897077971966,-321.2897077971966
-297.5825109135506,-297.5825109135506
-289.0750034929252,-289.0750034929252
-377.5636468315154,-377.5636468315154
-310.24840633546364,-310.24840633546364
-277.7153529853343,-277.7153529853343
-312.6358330168125,-312.6358330168125
-263.2204171024253,-263.2204171024253
-307.64002324286264,-307.64002324286264
-329.75920929557213,-329.75920929557213
-266.8335714558404,-266.8335714558404
-326.34393510606367,-326.34393510606367
-307.01327857546886,-307.01327857546886
-280.86151638544567,-280.86151638544567
-302.87957222341373,-302.87957222341373
-308.21832608500534,-308.21832608500534
-288.9249285244222,-288.9249285244222
-340.12987925976495,-340.12987925976495
-276.3732839772018,-276.3732839772018
-269.7111764334961,-269.7111764334961
-301.3198305321128,-301.3198305321128
-255.47644889197247,-255.47644889197247
-334.71945561256797,-334.71945561256797
-288.4334890825102,-288.4334890825102
-283.08812654994165,-283.08812654994165
-218.73266659792333,-218.73266659792333
-299.86585735633173,-299.86585735633173
-263.12972326439177,-263.12972326439177
-296.17131929287956,-296.17131929287956
-237.6000991223344,-237.6000991223344
-281.9504874622328,-281.9504874622328
-248.00952511517875,-248.00952511517875
-272.7607931795898,-272.7607931795898
-213.39480136006625,-213.39480136006625
-277.80260094148986,-277.80260094148986
-293.0530971132885,-293.0530971132885
-331.68640325554236,-331.68640325554236
-267.54252862552875,-267.54252862552875
-332.48961242195696,-332.48961242195696
-253.48412333566176,-253.48412333566176
-283.1103848954762,-283.1103848954762
-256.83470970755104,-256.83470970755104
-304.1567248761327,-304.1567248761327
-253.13942698644186,-253.13942698644186
-253.53302405681285,-253.53302405681285
-287.13811674303963,-287.13811674303963
-271.6094388162876,-271.6094388162876
-274.14665807487467,-274.14665807487467
-303.1705073027468,-303.1705073027468
-287.70015298651657,-287.70015298651657
-267.08090995067784,-267.08090995067784
-293.2640741152779,-293.2640741152779
-304.5142068331569,-304.5142068331569
