train,test
-333.0123256277572,-333.0123256277572
-252.81828544296397,-252.81828544296397
-284.1115449041555,-284.1115449041555
-289.3830605109152,-289.3830605109152
-276.9056305050532,-276.9056305050532
-277.11014446452003,-277.11014446452003
-276.78407652502307,-276.78407652502307
-253.82325417042924,-253.82325417042924
-167.73904368857237,-167.73904368857237
-266.32398687431413,-266.32398687431413
-228.12256065995206,-228.12256065995206
-226.98652597321964,-226.98652597321964
-267.8218328532641,-267.8218328532641
-236.81948897940697,-236.81948897940697
-302.54083257946155,-302.54083257946155
-311.4699346194647,-311.4699346194647
-249.00116940697777,-249.00116940697777
-279.13953306900385,-279.13953306900385
-254.70586786705857,-254.70586786705857
-274.71433838808923,-274.71433838808923
-305.7545145698812,-305.7545145698812
-250.96485782529118,-250.96485782529118
-233.65255438650578,-233.65255438650578
-244.37771321859685,-244.37771321859685
-233.73045132807636,-233.73045132807636
-364.85584733107805,-364.85584733107805
-171.81917242535727,-171.81917242535727
-270.61250577720506,-270.61250577720506
-302.71815004015144,-302.71815004015144
-281.18934422786566,-281.18934422786566
-228.03954012694788,-228.03954012694788
-295.0756361682719,-295.0756361682719
-162.78089382102812,-162.78089382102812
-292.8490679641813,-292.8490679641813
-274.8553701205398,-274.8553701205398
-250.24969196697964,-250.24969196697964
-339.1851458990849,-339.1851458990849
-210.71057777473794,-210.71057777473794
-318.55750000655917,-318.55750000655917
-270.4700960266971,-270.4700960266971
-245.45351173805977,-245.45351173805977
-255.33463894257287,-255.33463894257287
-207.0636374335173,-207.0636374335173
-202.61363422557005,-202.61363422557005
-347.711634684029,-347.711634684029
-241.31750286130307,-241.31750286130307
-209.149420178028,-209.149420178028
-271.68847527635097,-271.68847527635097
-311.87569319234115,-311.87569319234115
-327.68396973763555,-327.68396973763555
-291.78776593267276,-291.78776593267276
-286.2604943641648,-286.2604943641648
-258.4135585804788,-258.4135585804788
-283.82297732976923,-283.82297732976923
-230.2285577704689,-230.2285577704689
-206.44153887829617,-206.44153887829617
-239.52074181614572,-239.52074181614572
-267.7629231359496,-267.7629231359496
-248.67719841930426,-248.67719841930426
-177.87213690212928,-177.87213690212928
-326.3949479781473,-326.3949479781473
-239.70051158600762,-239.70051158600762
-168.53204600822838,-168.53204600822838
-254.9501104004932,-254.9501104004932
-245.4013288059982,-245.4013288059982
