,train,test
346,0.0,72.375
347,0.0,85.0
348,0.0,94.375
349,0.0,73.125
350,0.0,85.125
351,0.0,89.25
352,0.0,66.75
353,0.0,83.125
354,0.0,99.0
355,0.0,100.0
356,0.0,92.875
357,0.0,80.75
358,0.0,78.125
359,0.0,104.37499999999997
360,0.0,87.125
361,0.0,98.0
362,0.0,65.125
363,0.0,93.875
364,0.0,101.375
365,0.0,78.75
366,0.0,87.25
367,0.0,107.375
368,0.0,104.75
369,0.0,121.625
370,0.0,109.75
371,0.0,110.125
372,0.0,93.75
373,0.0,111.875
374,0.0,117.75000000000003
375,0.0,104.125
376,0.0,84.625
377,0.0,102.25
378,0.0,103.625
379,0.0,87.0
380,0.0,90.625
381,0.0,113.87500000000003
382,0.0,116.5
383,0.0,103.12500000000003
384,0.0,95.75
385,0.0,98.625
386,0.0,100.75
387,0.0,62.25
388,0.0,61.125
389,0.0,76.25
390,0.0,95.0
391,0.0,96.625
392,0.0,110.875
393,0.0,87.5
394,0.0,112.75000000000003
395,0.0,94.375
396,0.0,96.25
397,0.0,98.375
398,0.0,115.375
399,0.0,108.625
400,0.0,109.49999999999997
401,0.0,100.625
402,0.0,120.12499999999997
403,0.0,123.625
404,0.0,115.875
405,0.0,109.37500000000003
406,0.0,111.375
407,0.0,117.25000000000003
408,0.0,95.875
409,0.0,93.0
410,0.0,105.875
411,0.0,105.25
412,0.0,102.25
413,0.0,86.875
414,0.0,104.99999999999997
415,0.0,105.49999999999997
416,0.0,92.75
417,0.0,74.625
418,0.0,94.75
419,0.0,94.5
420,0.0,88.5
421,0.0,106.00000000000003
422,0.0,97.0
423,0.0,75.5
424,0.0,101.25
425,0.0,111.74999999999997
426,0.0,119.875
427,0.0,111.12499999999997
428,0.0,107.5
429,0.0,115.375
430,0.0,121.24999999999997
431,0.0,123.875
432,0.0,129.5
433,0.0,116.12500000000003
434,0.0,97.75
435,0.0,97.0
436,0.0,113.75
437,0.0,117.37499999999997
438,0.0,116.875
439,0.0,111.375
440,0.0,86.125
441,0.0,122.0
442,0.0,127.75
443,0.0,120.875
444,0.0,128.75
445,0.0,96.75
446,0.0,117.25000000000003
447,0.0,104.625
448,0.0,101.125
449,0.0,91.875
450,0.0,107.12500000000003
451,0.0,96.75
452,0.0,99.25
453,0.0,88.75
454,0.0,102.375
455,0.0,108.0
456,0.0,100.75
457,0.0,122.99999999999997
458,0.0,111.62500000000003
459,0.0,97.25
460,0.0,90.75
461,0.0,114.875
462,0.0,124.00000000000003
463,0.0,123.37500000000003
464,0.0,113.99999999999997
465,0.0,76.0
466,0.0,120.25
467,0.0,119.125
468,0.0,111.375
469,0.0,115.375
470,0.0,113.5
471,0.0,108.75000000000003
472,0.0,109.25
473,0.0,112.87499999999997
474,0.0,104.99999999999997
475,0.0,109.99999999999997
476,0.0,118.625
477,0.0,108.5
478,0.0,95.375
479,0.0,87.875
480,0.0,82.875
481,0.0,105.49999999999997
482,0.0,105.75
483,0.0,103.375
484,0.0,118.625
485,0.0,117.5
486,0.0,90.25
487,0.0,95.5
488,0.0,104.37499999999997
489,0.0,107.0
490,0.0,118.0
491,0.0,101.75
492,0.0,103.625
493,0.0,94.75
494,0.0,97.875
