train,test
-220.00597022376547,-220.00597022376547
-356.4408157793917,-356.4408157793917
-263.17324723384195,-263.17324723384195
-304.7184496674332,-304.7184496674332
-284.2035217271158,-284.2035217271158
-283.73701090286255,-283.73701090286255
-279.12265841502347,-279.12265841502347
-287.6518755836531,-287.6518755836531
-285.26591434727806,-285.26591434727806
-220.2664233806321,-220.2664233806321
-288.7411680554542,-288.7411680554542
-286.9712223602844,-286.9712223602844
-204.44187176396082,-204.44187176396082
-277.3131136760586,-277.3131136760586
-207.15979921948727,-207.15979921948727
-288.12771441403925,-288.12771441403925
-291.11932252595614,-291.11932252595614
-288.54382854941537,-288.54382854941537
-311.2305184427986,-311.2305184427986
-259.2317685502913,-259.2317685502913
-198.6734732866835,-198.6734732866835
-240.93260355846164,-240.93260355846164
-234.97381075062603,-234.97381075062603
-261.5831015962431,-261.5831015962431
-251.91837750281172,-251.91837750281172
-309.7403780376913,-309.7403780376913
-166.30872536000905,-166.30872536000905
-250.68414180243886,-250.68414180243886
-260.7651509228746,-260.7651509228746
-213.26029767019554,-213.26029767019554
-238.57088835166422,-238.57088835166422
-212.44164313373187,-212.44164313373187
-259.14083163665276,-259.14083163665276
-292.181588117013,-292.181588117013
-265.6693210922118,-265.6693210922118
-242.52153521295676,-242.52153521295676
-291.4602602442519,-291.4602602442519
-256.90538476390736,-256.90538476390736
-293.9661203379335,-293.9661203379335
-317.7519308968769,-317.7519308968769
-205.0156212500862,-205.0156212500862
-301.3631224114334,-301.3631224114334
-219.69625323035984,-219.69625323035984
-283.80507188771696,-283.80507188771696
-280.0236112341126,-280.0236112341126
-211.42604887318254,-211.42604887318254
-305.62599193813884,-305.62599193813884
-262.5541063050549,-262.5541063050549
-256.5974395376711,-256.5974395376711
-295.5293609056097,-295.5293609056097
-270.3593779936307,-270.3593779936307
-296.21559109988084,-296.21559109988084
-285.84894264502555,-285.84894264502555
-255.35593937375734,-255.35593937375734
-175.4748961331712,-175.4748961331712
-179.1508350079362,-179.1508350079362
-219.2327237482461,-219.2327237482461
-293.85081709630714,-293.85081709630714
-251.14254634026776,-251.14254634026776
-246.84425502699625,-246.84425502699625
-285.4303646653549,-285.4303646653549
-292.06922866723414,-292.06922866723414
-248.32310004658794,-248.32310004658794
-290.46152130276295,-290.46152130276295
-259.06536297316916,-259.06536297316916
-221.67464532864216,-221.67464532864216
-278.28564036654416,-278.28564036654416
-267.05810376921437,-267.05810376921437
-311.89733589344786,-311.89733589344786
-289.394185169158,-289.394185169158
-271.801016805104,-271.801016805104
-256.20125094819844,-256.20125094819844
-297.5818205162564,-297.5818205162564
-246.00607684817606,-246.00607684817606
-268.5301566142555,-268.5301566142555
-285.0054612196892,-285.0054612196892
-166.5065237125303,-166.5065237125303
-218.9618462601015,-218.9618462601015
-254.08767037743652,-254.08767037743652
-268.26764099983626,-268.26764099983626
-233.58581171394366,-233.58581171394366
-243.43025381035105,-243.43025381035105
-246.97433063132436,-246.97433063132436
-294.95968769656145,-294.95968769656145
-260.0118329922088,-260.0118329922088
-355.12651106470423,-355.12651106470423
-224.50275850671477,-224.50275850671477
-229.43401927961915,-229.43401927961915
-240.41871286902224,-240.41871286902224
-244.0011106510005,-244.0011106510005
-192.7331236711449,-192.7331236711449
-213.04318969911847,-213.04318969911847
-297.37653218706356,-297.37653218706356
-252.73454148303608,-252.73454148303608
-206.13325701373634,-206.13325701373634
-335.8787637711411,-335.8787637711411
-224.753154103101,-224.753154103101
-202.5450905491507,-202.5450905491507
-271.64352625112133,-271.64352625112133
-317.08178993138625,-317.08178993138625
-302.4196666847015,-302.4196666847015
-221.03048639588766,-221.03048639588766
-238.38150420068808,-238.38150420068808
-293.61553413917903,-293.61553413917903
-228.17174829380093,-228.17174829380093
-278.9182408142692,-278.9182408142692
-286.61809158343107,-286.61809158343107
-236.23277205975575,-236.23277205975575
